SesID,SesFld,Subject,Age,Gender,Handedness,Block,Report,TrialNum,TrialType,PreStim,StimL,StimR,Attention,PrestimResponse,PreStimEnd,PreStimTransient,StimResponse,Eye_slope,Eye_pval,Eye_meandiff,Eye_sumdiff,Eye_stddiff,mVel500,mVel1000
1,"NZ_part10",SP,19,f,R,4,none,55,10,4,1,2,endogenous,right,-135,NaN,none,0.124965961199508,0.0062221699270621,0.00193623328412819,0.112301530479435,0.159452722795839,0.172831735225515,0.111501044168428
1,"NZ_part10",SP,19,f,R,4,none,56,12,4,2,1,endogenous,left,-135,NaN,none,-0.246764740517113,4.03806688935366e-07,0.000884098085301175,0.0521617870327693,0.133956147469248,-0.0374173076117235,-0.0870797119168774
1,"NZ_part10",SP,19,f,R,4,none,57,10,4,1,2,endogenous,right,-135,NaN,none,0.034671471383235,0.27462224249968,-0.000907881743699248,-0.0535650228782556,0.0868425092940005,0.0547790267729232,0.0376264484577088
1,"NZ_part10",SP,19,f,R,4,none,58,10,4,1,2,endogenous,right,-135,NaN,none,-0.121326483190607,0.0225908880193235,-0.000338125500565048,-0.0199494045333378,0.180033682098878,-0.0925000246815709,-0.14965245381516
1,"NZ_part10",SP,19,f,R,4,none,59,11,3,2,1,endogenous,left,-135,NaN,none,-0.208131342174761,5.88762390051457e-05,-0.00640948450679195,-0.314064740832806,0.137780164761639,-0.186790399217981,-0.0935358576220063
1,"NZ_part10",SP,19,f,R,4,none,60,10,4,1,2,endogenous,right,-135,NaN,none,-0.118827307387083,0.00237323518862384,-0.00105201389077076,-0.0620688195554747,0.11912602641495,-0.244120821258249,-0.117085042306391
1,"NZ_part10",SP,19,f,R,4,none,61,12,4,2,1,endogenous,right,-135,NaN,none,-0.00690658920247272,0.861829468863719,0.000560070196538831,0.033044141595791,0.134449102309965,0.0302878521295502,0.0101682549940186
1,"NZ_part10",SP,19,f,R,4,none,62,9,3,1,2,endogenous,left,-135,NaN,none,0.00916102379659052,0.763157123335443,-0.00192630645698328,-0.0924627099351972,0.0888462496455637,0.0925798196048046,0.0464770303884357
1,"NZ_part10",SP,19,f,R,4,none,63,10,4,1,2,endogenous,right,-135,NaN,none,0.146551436727682,0.000442027159852708,0.00066929334906089,0.0327953741039836,0.103030299184927,-0.0276768092310552,0.135751206258024
1,"NZ_part10",SP,19,f,R,4,none,64,12,4,2,1,endogenous,right,-135,NaN,none,-0.174645498628684,0.000346728880947129,-0.00398282841495742,-0.183210107088042,0.143109064037255,-0.136940856610435,-0.10168810052097
1,"NZ_part10",SP,19,f,R,4,none,65,10,4,1,2,endogenous,right,-135,NaN,none,0.0666133991912881,0.206320165399701,0.000450584742984716,0.0220786524062511,0.153157625651302,0.03566623952663,0.0869259893470217
1,"NZ_part10",SP,19,f,R,4,none,66,11,3,2,1,endogenous,left,-135,NaN,none,-0.12059774937001,0.00866511836225389,-0.00215847128384983,-0.116557449327891,0.133599335814657,-0.244422541295186,-0.0640112045196564
1,"NZ_part10",SP,19,f,R,4,none,67,9,3,1,2,endogenous,left,-135,NaN,none,-0.0607202237793321,0.137231710813332,-0.0023670717288964,-0.134923088547095,0.121544952695607,-0.219766110742564,-0.0603307231746056
1,"NZ_part10",SP,19,f,R,4,none,68,10,4,1,2,endogenous,right,-135,NaN,none,-0.308255214359039,2.87161306443613e-06,-0.00296836955944323,-0.169197064888264,0.186034332637744,-0.0399519634651444,-0.248348821205483
1,"NZ_part10",SP,19,f,R,4,none,69,9,3,1,2,endogenous,left,-135,NaN,none,-0.021596171656646,0.703518200675415,0.00150034773931169,0.0630146050510912,0.142802126047348,0.174233845927343,0.11872017773396
1,"NZ_part10",SP,19,f,R,4,none,70,10,4,1,2,endogenous,right,-135,NaN,none,-0.0134324672618555,0.727469118659344,0.00134598498992711,0.0619153095366469,0.107147725529618,-0.0739939413114985,0.0388204362795948
1,"NZ_part10",SP,19,f,R,4,none,71,10,4,1,2,endogenous,right,-135,NaN,none,-0.0248058361698902,0.45362833643995,-0.00117082296630251,-0.0561995023825206,0.0952805523012483,-0.139989319261999,-0.117677828450035
1,"NZ_part10",SP,19,f,R,4,none,72,14,4,1,1,endogenous,right,-135,NaN,none,0.0290596456907476,0.43839233790925,-0.000109790929729503,-0.00526996462701612,0.103344150540327,-0.00503913907925355,0.0481777640745992
1,"NZ_part10",SP,19,f,R,4,none,73,11,3,2,1,endogenous,left,-135,NaN,none,-0.165775205537502,0.000149009144969506,-0.00411448697077905,-0.242754731275964,0.118093180592799,-0.0851975475334971,-0.0374286140162067
